AREA,N° CRUCE,INTERSECCIÓN,Controlador tipo,Centralizado ,Restan cambiar,En sistema,Conexión,Proyecto,Subárea,Edad
3,3301,Las Heras Av.-Agüero,Siemens STC M4-20,SI,,Citar,,,,1
3,3302,Las Heras Av.-Austria,Siemens STC M4-20,SI,,Citar,,,,1
3,3303,Las Heras Av.-Tagle,Siemens STC M4-20,SI,,Citar,,,,1
3,3304,Las Heras Av.-Pereyra Lucena,Siemens STC M4-20,SI,,Citar,,,,1
3,3305,Las Heras Av.-Sánchez de Bustamante,Siemens STC M4-20,SI,,Citar,,,,1
3,3306,Las Heras Av.-Billinghurst,Siemens STC M4-20,SI,,Citar,,,,1
3,3307,Billinghurst-Pacheco de Melo,Siemens STC M4-20,SI,,Citar,,,,1
3,3308,Las Heras Av.-Díaz Cnel. Av.-Pacheco de Melo,Siemens STC M4-20,SI,,Citar,,,,1
3,3309,Las Heras Av.-Ruggieri,Siemens STC M4-20,SI,,Citar,,,,1
3,3310,Las Heras Av.-Salguero Jerónimo,Siemens STC M4-20,SI,,Citar,,,,1
3,3311,Las Heras Av.-Scalabrini Ortiz Av.,Siemens STC M4-20,SI,,Citar,,,,1
3,3312,Las Heras Av.-Malabia/República Arabe Siria,Siemens STC M4-20,SI,,Citar,,,,1
3,3313,Las Heras Av.-Lafinur,Siemens STC M4-20,SI,,Citar,,,,1
3,3314,Las Heras Av.-República de la India,Siemens STC M4-20,SI,,Citar,,,,1
3,3315,Las Heras Av.-Ugarteche,Siemens STC M4-20,SI,,Citar,,,,1
3,3316,Cabello-Ugarteche,Siemens STC M4-20,SI,,Citar,,,,1
3,3317,Sarmiento Av. N° 2710 fte estac. Predio Ferial de la Rural,Siemens STC M4-20,SI,,Citar,,,,1
3,3318,Salguero Jerónimo-Cabello-El Lazo,Siemens STC M4-20,SI,,Citar,,,,1
3,3319,Salguero Jerónimo-Cerviño/Paunero,Siemens STC M4-20,SI,,Citar,,,,1
3,3320,Díaz Cnel. Av.-Peña,Siemens STC M4-20,SI,,Citar,,,,1
3,3321,Scalabrini Ortiz Av.-Seguí F. J. Alte.,Siemens STC M4-20,SI,,Citar,,,,1
3,3322,Scalabrini Ortiz Av.-Cerviño,Siemens STC M4-20,SI,,Citar,,,,1
3,3323,Scalabrini Ortiz Av.-Cabello,Siemens STC M4-20,SI,,Citar,,,,1
3,3324,Güemes-Serrano,Siemens STC M4-20,SI,,Citar,,,,1
3,3325,Las Heras Av.-Circular Plaza Italia,Siemens STC M4-20,SI,,Citar,,,,1
3,3326,Sarmiento Av.-Circular Plaza Italia,Siemens STC M4-20,SI,,Citar,,,,1
3,3327,Santa Fe Av.-Serrano,Siemens STC M4-20,SI,,Citar,,,,1
3,3328,Santa Fe Av.-Thames,Siemens STC M4-20,SI,,Citar,,,,1
3,3329,Santa Fe Av.-Uriarte,Siemens STC M4-20,SI,,Citar,,,,1
3,3330,Santa Fe Av.-Darregueyra,Siemens STC M4-20,SI,,Citar,,,,1
3,3331,Santa Fe Av.-Fray J. S. M. de Oro,Siemens STC M4-20,SI,,Citar,,,,1
3,3332,Santa Fe Av.-Godoy Cruz,Siemens STC M4-20,SI,,Citar,,,,1
3,3333,Santa Fe Av.-Justo Juan B. Av.-Bullrich Int.,Siemens STC M4-20,SI,,Citar,,,,1
3,3334,Santa Fe Av.-Humboldt,Siemens STC M4-20,SI,,Citar,,,,1
3,3335,Santa Fe Av.-Fitz Roy-Campos Luis M. Av.,Siemens STC M4-20,SI,,Citar,,,,1
3,3336,Güemes-Uriarte,Siemens STC M4-20,SI,,Citar,,,,1
3,3337,Santa Fe Av.-Carranza Angel J.,Siemens STC M4-20,SI,,Citar,,,,1
3,3338,Charcas-Serrano,Siemens STC M4-20,SI,,Citar,,,,1
3,3339,Santa Fe Av.-Bonpland,Siemens STC M4-20,SI,,Citar,,,,1
3,3340,Charcas-Fitz Roy,Siemens CLS214PLUS,NO,,,,,,5
3,3341,Díaz Cnel. Av.-Cabello,Siemens STC M4-20,SI,,Citar,,,,1
3,3342,Charcas-Thames,Siemens STC M4-20,SI,,Citar,,,,1
3,3343,Güemes-Thames,Siemens STC M4-20,SI,,Citar,,,,1
3,3344,Charcas-Fray Justo S. M. de Oro,Siemens STC M4-20,SI,,Citar,,,,1
3,3345,Charcas-Uriarte,Siemens STC M4-20,SI,,Citar,,,,1
3,3346,Güemes-De Oro Fray Justo Santa María,Siemens STC M4-20,SI,,Citar,,,,1
3,3347,Billinghurst-Peña,Siemens STC M4-20,SI,,Citar,,,,1
3,3348,Las Heras Av.-Bulnes,Siemens STC M4-20,SI,,Citar,,,,1
3,3349,Güemes-Darregueyra,Siemens STC M4-20,SI,,Citar,,,,1
3,3350,Justo Juan B. Av.-Honduras,Siemens STC M4-20,SI,,Citar,,,,1
3,3351,Seguí Juan Francisco.-Ugarteche,Siemens STC M4-20,NO,,,,,,1
3,3352,Cabello-Lafinur,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3353,Las Heras Av. - Ortiz de Ocampo,Siemens STC M4-20,SI,,Citar,,,,1
3,3396,Santa Fe Av.-Malabia,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3397,Santa Fe Av.-Scalabrini Ortiz Av. Bolson Peat.,Siemens CLS214PLUS,SI,,Citar,,,,5
3,3398,Agüero - Mansilla ,Siemens STC M4-20,SI,,Citar,,,,1
3,3400,Billinghurst-Güemes,Siemens STC M4-20,SI,,Citar,,,,1
